,V1,V2,V3,V4,V5,V6,V7
25,CHOYP_DDX46.1.1|m.52473,23C-29C,-2.358186474,Q4TVV3,DDX46_DANRE,sp|Q4TVV3|DDX46_DANRE Probable ATP-dependent RNA helicase DDX46 OS=Danio rerio OX=7955 GN=ddx46 PE=2 SV=1,0
26,CHOYP_CRE_01395.2.2|m.44269,23C-29C,-2.327026277,P22105,TENX_HUMAN,sp|P22105|TENX_HUMAN Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5,2.35E-34
27,CHOYP_NRDC.1.1|m.28526,23C-29C,-2.297978119,Q8BHG1,NRDC_MOUSE,sp|Q8BHG1|NRDC_MOUSE Nardilysin OS=Mus musculus OX=10090 GN=Nrdc PE=1 SV=1,0
28,CHOYP_LOC410403.1.1|m.31535,23C-29C,-2.262251071,Q5F3J5,PSME3_CHICK,sp|Q5F3J5|PSME3_CHICK Proteasome activator complex subunit 3 OS=Gallus gallus OX=9031 GN=PSME3 PE=1 SV=1,8.53E-95
29,CHOYP_LOC100709493.2.2|m.59425,23C-29C,-2.189317076,A6NHC0,CAN8_HUMAN,sp|A6NHC0|CAN8_HUMAN Calpain-8 OS=Homo sapiens OX=9606 GN=CAPN8 PE=2 SV=3,1.40E-68
30,CHOYP_BRAFLDRAFT_208293.6.20|m.36168,23C-29C,-2.135985883,Q96MM6,HS12B_HUMAN,sp|Q96MM6|HS12B_HUMAN Heat shock 70 kDa protein 12B OS=Homo sapiens OX=9606 GN=HSPA12B PE=1 SV=2,3.04E-114
31,CHOYP_LYAM3.2.4|m.3333,23C-29C,-2.086355502,P98109,LYAM3_SHEEP,sp|P98109|LYAM3_SHEEP P-selectin OS=Ovis aries OX=9940 GN=SELP PE=2 SV=1,6.25E-18
32,CHOYP_ISCW_ISCW014398.1.3|m.15838,23C-29C,-2.067070626,Q5ZML3,SRSF1_CHICK,sp|Q5ZML3|SRSF1_CHICK Serine/arginine-rich splicing factor 1 OS=Gallus gallus OX=9031 GN=SRSF1 PE=1 SV=3,7.57E-84
33,CHOYP_DNMT1.1.1|m.54990,23C-29C,-2.026339317,Q92072,DNMT1_CHICK,sp|Q92072|DNMT1_CHICK DNA (cytosine-5)-methyltransferase 1 OS=Gallus gallus OX=9031 GN=DNMT1 PE=1 SV=1,0
2241,CHOYP_LOC100876012.1.1|m.8280,23C-29C,2.014581522,Q16831,UPP1_HUMAN,sp|Q16831|UPP1_HUMAN Uridine phosphorylase 1 OS=Homo sapiens OX=9606 GN=UPP1 PE=1 SV=1,1.19E-95
2242,CHOYP_PCKG.2.2|m.50139,23C-29C,2.047016479,P29190,PCKG_HAECO,sp|P29190|PCKG_HAECO Phosphoenolpyruvate carboxykinase [GTP] OS=Haemonchus contortus OX=6289 GN=PEPCK PE=2 SV=1,0
2243,CHOYP_UNC89.1.19|m.7848,23C-29C,2.05672775,A8T6P4,MYRIP_DANRE,sp|A8T6P4|MYRIP_DANRE Rab effector MyRIP OS=Danio rerio OX=7955 GN=myrip PE=1 SV=1,1.02E-38
2244,CHOYP_LOC100377195.1.2|m.28624,23C-29C,2.06246173,P08472,M130_STRPU,sp|P08472|M130_STRPU Mesenchyme-specific cell surface glycoprotein OS=Strongylocentrotus purpuratus OX=7668 PE=2 SV=2,1.95E-28
2245,CHOYP_SCP.9.12|m.62606,23C-29C,2.090309601,P02637,SCP_MIZYE,sp|P02637|SCP_MIZYE Sarcoplasmic calcium-binding protein OS=Mizuhopecten yessoensis OX=6573 PE=1 SV=1,2.29E-59
2246,CHOYP_BRAFLDRAFT_90098.2.4|m.5630,23C-29C,2.106258001,Q32LQ4,BHMT1_DANRE,sp|Q32LQ4|BHMT1_DANRE Betaine--homocysteine S-methyltransferase 1 OS=Danio rerio OX=7955 GN=bhmt PE=2 SV=1,5.32E-44
2247,CHOYP_BRAFLDRAFT_227287.1.1|m.14669,23C-29C,2.14098269,Q498J9,MBLC1_XENLA,sp|Q498J9|MBLC1_XENLA Metallo-beta-lactamase domain-containing protein 1 OS=Xenopus laevis OX=8355 GN=mblac1 PE=2 SV=2,5.42E-51
2248,CHOYP_TSP_03740.1.1|m.61194,23C-29C,2.146644466,P24367,PPIB_CHICK,sp|P24367|PPIB_CHICK Peptidyl-prolyl cis-trans isomerase B OS=Gallus gallus OX=9031 GN=PPIB PE=2 SV=1,1.24E-72
2249,CHOYP_PPA5.1.1|m.36087,23C-29C,2.154789794,P09889,PPA5_PIG,sp|P09889|PPA5_PIG Tartrate-resistant acid phosphatase type 5 OS=Sus scrofa OX=9823 GN=ACP5 PE=1 SV=4,2.67E-101
2250,CHOYP_LOC100024935.1.1|m.2615,23C-29C,2.197296202,Q95108,THIOM_BOVIN,"sp|Q95108|THIOM_BOVIN Thioredoxin, mitochondrial OS=Bos taurus OX=9913 GN=TXN2 PE=1 SV=2",6.34E-43
2251,CHOYP_LOC100371209.1.1|m.49090,23C-29C,2.2051407,A5PLI4,LR2BP_DANRE,sp|A5PLI4|LR2BP_DANRE LRP2-binding protein OS=Danio rerio OX=7955 GN=lrp2bp PE=2 SV=1,2.95E-108
2252,CHOYP_ARB_02478.1.1|m.29725,23C-29C,2.215144239,D4B1Z7,A2478_ARTBC,sp|D4B1Z7|A2478_ARTBC Uncharacterized FAD-linked oxidoreductase ARB_02478 OS=Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) OX=663331 GN=ARB_02478 PE=1 SV=1,1.28E-39
2253,CHOYP_BRAFLDRAFT_76885.1.1|m.20259,23C-29C,2.241222591,P86789,GIGA6_CRAGI,sp|P86789|GIGA6_CRAGI Gigasin-6 OS=Crassostrea gigas OX=29159 PE=1 SV=1,6.79E-35
2254,CHOYP_NTF-2.1.1|m.38498,23C-29C,2.241788404,Q21735,NTF2_CAEEL,sp|Q21735|NTF2_CAEEL Probable nuclear transport factor 2 OS=Caenorhabditis elegans OX=6239 GN=ran-4 PE=3 SV=1,4.95E-30
2255,CHOYP_JNK.1.1|m.1540,23C-29C,2.243908319,P92208,JNK_DROME,sp|P92208|JNK_DROME Stress-activated protein kinase JNK OS=Drosophila melanogaster OX=7227 GN=bsk PE=1 SV=1,0
2256,CHOYP_BIRC6.1.2|m.51516,23C-29C,2.251474087,Q9NR09,BIRC6_HUMAN,sp|Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=2,0
2257,CHOYP_BRAFLDRAFT_93126.2.3|m.15451,23C-29C,2.270304593,Q5ZM73,MIRO1_CHICK,sp|Q5ZM73|MIRO1_CHICK Mitochondrial Rho GTPase 1 OS=Gallus gallus OX=9031 GN=RHOT1 PE=2 SV=1,0
2258,CHOYP_ZN706.1.2|m.11926,23C-29C,2.277961102,Q5ZMM5,ZN706_CHICK,sp|Q5ZMM5|ZN706_CHICK Zinc finger protein 706 OS=Gallus gallus OX=9031 GN=ZNF706 PE=3 SV=1,2.01E-29
2259,CHOYP_TMEM2.4.4|m.28440,23C-29C,2.286541297,A3KPQ7,CEIP2_DANRE,sp|A3KPQ7|CEIP2_DANRE Cell surface hyaluronidase OS=Danio rerio OX=7955 GN=cemip2 PE=1 SV=1,1.44E-99
2260,CHOYP_LOC577383.1.1|m.8364,23C-29C,2.304338084,Q9H6T3,RPAP3_HUMAN,sp|Q9H6T3|RPAP3_HUMAN RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,2.35E-65
2261,CHOYP_LOC100673983.1.1|m.10072,23C-29C,2.308292846,Q9D826,SOX_MOUSE,sp|Q9D826|SOX_MOUSE Peroxisomal sarcosine oxidase OS=Mus musculus OX=10090 GN=Pipox PE=1 SV=1,3.25E-128
2262,CHOYP_VRK1.1.1|m.10917,23C-29C,2.359447281,Q32PI1,VRK1_BOVIN,sp|Q32PI1|VRK1_BOVIN Serine/threonine-protein kinase VRK1 OS=Bos taurus OX=9913 GN=VRK1 PE=2 SV=1,2.61E-139
2263,CHOYP_LOC100374471.1.1|m.55948,23C-29C,2.427278507,Q9NQZ5,STAR7_HUMAN,"sp|Q9NQZ5|STAR7_HUMAN StAR-related lipid transfer protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=STARD7 PE=1 SV=2",1.89E-66
2264,CHOYP_LOC100878123.1.1|m.55730,23C-29C,2.431954779,A5PK45,GT251_BOVIN,sp|A5PK45|GT251_BOVIN Procollagen galactosyltransferase 1 OS=Bos taurus OX=9913 GN=COLGALT1 PE=2 SV=1,0
2265,CHOYP_BRAFLDRAFT_283451.1.1|m.41825,23C-29C,2.436090671,Q96HW7,INT4_HUMAN,sp|Q96HW7|INT4_HUMAN Integrator complex subunit 4 OS=Homo sapiens OX=9606 GN=INTS4 PE=1 SV=2,0
2266,CHOYP_BRAFLDRAFT_72357.1.1|m.59063,23C-29C,2.622700456,Q5VYX0,RNLS_HUMAN,sp|Q5VYX0|RNLS_HUMAN Renalase OS=Homo sapiens OX=9606 GN=RNLS PE=1 SV=1,2.62E-101
2267,CHOYP_DS.1.1|m.62106,23C-29C,2.640581709,Q24292,DS_DROME,sp|Q24292|DS_DROME Protein dachsous OS=Drosophila melanogaster OX=7227 GN=ds PE=1 SV=3,0
2268,CHOYP_LOC100378619.2.2|m.36047,23C-29C,2.710938223,Q8N9Z9,LMTD1_HUMAN,sp|Q8N9Z9|LMTD1_HUMAN Lamin tail domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LMNTD1 PE=2 SV=2,6.50E-40
2269,CHOYP_FAIM1.1.1|m.36651,23C-29C,2.741269354,Q0IIF6,FAIM1_BOVIN,sp|Q0IIF6|FAIM1_BOVIN Fas apoptotic inhibitory molecule 1 OS=Bos taurus OX=9913 GN=FAIM PE=2 SV=1,8.46E-81
2270,CHOYP_CLK2.1.1|m.3082,23C-29C,2.79615673,Q91ZA3,PCCA_MOUSE,"sp|Q91ZA3|PCCA_MOUSE Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Mus musculus OX=10090 GN=Pcca PE=1 SV=2",9.50E-156
2271,CHOYP_NCBP2.1.1|m.60410,23C-29C,2.918295043,B4KCD5,NCBP2_DROMO,sp|B4KCD5|NCBP2_DROMO Nuclear cap-binding protein subunit 2 OS=Drosophila mojavensis OX=7230 GN=Cbp20 PE=3 SV=1,7.65E-86
2272,CHOYP_LOC100208382.1.1|m.12145,23C-29C,3.069646048,P02595,CALM_PATSP,sp|P02595|CALM_PATSP Calmodulin OS=Patinopecten sp. OX=6574 PE=1 SV=2,2.01E-22
2273,CHOYP_GLOD5.1.1|m.25831,23C-29C,3.108699245,Q502D1,GLOD5_DANRE,sp|Q502D1|GLOD5_DANRE Glyoxalase domain-containing protein 5 OS=Danio rerio OX=7955 GN=glod5 PE=2 SV=1,2.00E-61
2274,CHOYP_CBR1.1.1|m.62756,23C-29C,3.455771732,Q8K354,CBR3_MOUSE,sp|Q8K354|CBR3_MOUSE Carbonyl reductase [NADPH] 3 OS=Mus musculus OX=10090 GN=Cbr3 PE=1 SV=1,3.73E-67
2275,CHOYP_contig_027593|m.31285,23C-29C,3.496793129,O42350,CO1A2_LITCT,sp|O42350|CO1A2_LITCT Collagen alpha-2(I) chain OS=Lithobates catesbeiana OX=8400 GN=COL1A2 PE=2 SV=1,1.45E-146
2276,CHOYP_HS90A.2.3|m.21992,23C-29C,3.579462386,Q90474,H90A1_DANRE,sp|Q90474|H90A1_DANRE Heat shock protein HSP 90-alpha 1 OS=Danio rerio OX=7955 GN=hsp90a.1 PE=1 SV=3,0
